id,algorithm_name,vertices,total_cost,execution_time_us,operation_count
small_1,Prim,6,108.52,0.185,37
small_1,Kruskal,6,108.52,0.026,13
small_2,Prim,5,180.73,0.085,17
small_2,Kruskal,5,180.73,0.016,8
small_3,Prim,5,260.17,0.095,19
small_3,Kruskal,5,260.17,0.016,8
small_4,Prim,6,179.36,0.175,35
small_4,Kruskal,6,179.36,0.022,11
small_5,Prim,4,179.65,0.085,17
small_5,Kruskal,4,179.65,0.012,6
medium_1,Prim,10,382.41,0.355,71
medium_1,Kruskal,10,382.41,0.042,21
medium_2,Prim,15,237.57,0.625,125
medium_2,Kruskal,15,237.57,0.070,35
medium_3,Prim,12,291.62,0.425,85
medium_3,Kruskal,12,291.62,0.052,26
medium_4,Prim,10,386.15,0.285,57
medium_4,Kruskal,10,386.15,0.036,18
medium_5,Prim,14,324.69,0.605,121
medium_5,Kruskal,14,324.69,0.066,33
medium_6,Prim,14,347.79,0.465,93
medium_6,Kruskal,14,347.79,0.074,37
medium_7,Prim,10,293.13,0.255,51
medium_7,Kruskal,10,293.13,0.038,19
medium_8,Prim,15,443.57,0.535,107
medium_8,Kruskal,15,443.57,0.056,28
medium_9,Prim,10,350.21,0.285,57
medium_9,Kruskal,10,350.21,0.040,20
medium_10,Prim,12,375.58,0.385,77
medium_10,Kruskal,12,375.58,0.052,26
large_1,Prim,27,704.42,1.055,211
large_1,Kruskal,27,704.42,0.122,61
large_2,Prim,20,575.56,0.665,133
large_2,Kruskal,20,575.56,0.090,45
large_3,Prim,25,777.52,0.855,171
large_3,Kruskal,25,777.52,0.128,64
large_4,Prim,30,804.65,1.185,237
large_4,Kruskal,30,804.65,0.154,77
large_5,Prim,26,797.83,1.125,225
large_5,Kruskal,26,797.83,0.132,66
large_6,Prim,30,608.0,1.165,233
large_6,Kruskal,30,608.0,0.146,73
large_7,Prim,20,755.61,0.645,129
large_7,Kruskal,20,755.61,0.088,44
large_8,Prim,29,839.46,1.095,219
large_8,Kruskal,29,839.46,0.136,68
large_9,Prim,26,747.55,0.925,185
large_9,Kruskal,26,747.55,0.118,59
large_10,Prim,24,670.21,0.985,197
large_10,Kruskal,24,670.21,0.112,56
extra_large_1,Prim,41,1035.71,1.415,283
extra_large_1,Kruskal,41,1035.71,0.230,115
extra_large_2,Prim,47,1067.13,1.625,325
extra_large_2,Kruskal,47,1067.13,0.258,129
extra_large_3,Prim,41,1487.52,1.415,283
extra_large_3,Kruskal,41,1487.52,0.220,110
